"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 01:18:44 GMT 2024","Fri Jan 05 01:18:44 GMT 2024","112","tests","main_page_test","TestMainPage","","","verify redirection to description page not authorized user",""
"passed","Fri Jan 05 01:18:18 GMT 2024","Fri Jan 05 01:18:22 GMT 2024","3845","tests","login_page_test","TestLoginPage","","","test_logining_user",""
"passed","Fri Jan 05 01:18:49 GMT 2024","Fri Jan 05 01:18:52 GMT 2024","2875","tests","main_page_test","TestMainPage","","","verify redirection to telegram page not authorized user",""
"passed","Fri Jan 05 01:19:08 GMT 2024","Fri Jan 05 01:19:08 GMT 2024","634","tests","main_page_test","TestMainPage","","","verify redirection to specialists page not authorized user",""
"passed","Fri Jan 05 01:19:13 GMT 2024","Fri Jan 05 01:19:14 GMT 2024","1225","tests","main_page_test","TestMainPage","","","verify redirection to github not authorized user",""
"passed","Fri Jan 05 01:19:03 GMT 2024","Fri Jan 05 01:19:03 GMT 2024","138","tests","main_page_test","TestMainPage","","","verify redirection to contacts page not authorized user",""
"skipped","Fri Jan 05 01:18:27 GMT 2024","Fri Jan 05 01:18:39 GMT 2024","12488","tests","login_page_test","TestTask","","","test_task",""
"passed","Fri Jan 05 01:19:19 GMT 2024","Fri Jan 05 01:19:20 GMT 2024","634","tests","main_page_test","TestMainPage","","","verify redirection to contributors page not authorized user",""
"passed","Fri Jan 05 01:18:56 GMT 2024","Fri Jan 05 01:18:58 GMT 2024","1673","tests","main_page_test","TestMainPage","","","verify redirection to donate page not authorized user",""
"passed","Fri Jan 05 01:19:24 GMT 2024","Fri Jan 05 01:19:24 GMT 2024","136","tests","main_page_test","TestMainPage","","","verify redirection to used resources page not authorized user",""
